"Copies","Div","FirstDate","Representative","Aliases","HasAH","HasOU"
"1","B1","08/08/2020","belgium_2020_21.csv","belgium_2020_21.csv","True","True"
"1","B1","22/07/2022","B1_2223.csv","B1_2223.csv","True","True"
"1","B1","23/07/2021","B1_2122.csv","B1_2122.csv","True","True"
"1","B1","27/07/2024","belgium_2024_25.csv","belgium_2024_25.csv","True","True"
"1","B1","28/07/2023","belgium_2023_24.csv","belgium_2023_24.csv","True","True"
"2","D1","05/08/2022","bundesliga_2022_23.csv","bundesliga_2022_23.csv;D1_2223.csv","True","True"
"2","D1","13/08/2021","bundesliga_2021_22.csv","bundesliga_2021_22.csv;D1_2122.csv","True","True"
"2","D1","18/08/2023","bundesliga_2023_24.csv","bundesliga_2023_24.csv;denmark_2023_24.csv","True","True"
"2","D1","18/09/2020","bundesliga_2020_21.csv","bundesliga_2020_21.csv;denmark_2020_21.csv","True","True"
"1","D1","22/08/2025","bundesliga_2025_26.csv","bundesliga_2025_26.csv","True","True"
"2","D1","23/08/2024","bundesliga_2024_25.csv","bundesliga_2024_25.csv;denmark_2024_25.csv","True","True"
"1","E0","05/08/2022","epl_2022_23.csv","epl_2022_23.csv","True","True"
"1","E0","11/08/2023","epl_2023_24.csv","epl_2023_24.csv","True","True"
"1","E0","12/09/2020","epl_2020_21.csv","epl_2020_21.csv","True","True"
"1","E0","13/08/2021","epl_2021_22.csv","epl_2021_22.csv","True","True"
"1","E0","15/08/2025","epl_2025_26.csv","epl_2025_26.csv","True","True"
"1","E0","16/08/2024","epl_2024_25.csv","epl_2024_25.csv","True","True"
"1","E1","04/08/2023","championship_2023_24.csv","championship_2023_24.csv","True","True"
"1","E1","06/08/2021","championship_2021_22.csv","championship_2021_22.csv","True","True"
"1","E1","09/08/2024","championship_2024_25.csv","championship_2024_25.csv","True","True"
"1","E1","11/09/2020","championship_2020_21.csv","championship_2020_21.csv","True","True"
"1","E1","29/07/2022","championship_2022_23.csv","championship_2022_23.csv","True","True"
"1","F1","05/08/2022","ligue1_2022_23.csv","ligue1_2022_23.csv","True","True"
"1","F1","06/08/2021","ligue1_2021_22.csv","ligue1_2021_22.csv","True","True"
"1","F1","11/08/2023","ligue1_2023_24.csv","ligue1_2023_24.csv","True","True"
"1","F1","15/08/2025","ligue1_2025_26.csv","ligue1_2025_26.csv","True","True"
"1","F1","16/08/2024","ligue1_2024_25.csv","ligue1_2024_25.csv","True","True"
"1","F1","21/08/2020","ligue1_2020_21.csv","ligue1_2020_21.csv","True","True"
"1","G1","11/09/2020","greece_2020_21.csv","greece_2020_21.csv","True","True"
"1","G1","11/09/2021","G1_2122.csv","G1_2122.csv","True","True"
"1","G1","17/08/2024","greece_2024_25.csv","greece_2024_25.csv","True","True"
"1","G1","18/08/2023","greece_2023_24.csv","greece_2023_24.csv","True","True"
"1","G1","19/08/2022","G1_2223.csv","G1_2223.csv","True","True"
"1","I1","13/08/2022","seriea_2022_23.csv","seriea_2022_23.csv","True","True"
"1","I1","17/08/2024","seriea_2024_25.csv","seriea_2024_25.csv","True","True"
"1","I1","19/08/2023","seriea_2023_24.csv","seriea_2023_24.csv","True","True"
"1","I1","19/09/2020","seriea_2020_21.csv","seriea_2020_21.csv","True","True"
"1","I1","21/08/2021","seriea_2021_22.csv","seriea_2021_22.csv","True","True"
"1","I1","23/08/2025","seriea_2025_26.csv","seriea_2025_26.csv","True","True"
"2","N1","05/08/2022","N1_2223.csv","N1_2223.csv;netherlands_2223.csv","True","True"
"3","N1","09/08/2024","netherlands_2024_25.csv","netherlands_2024_25.csv;norway_2024_25.csv;norway_2425.csv","True","True"
"4","N1","11/08/2023","netherlands_2023_24.csv","netherlands_2023_24.csv;netherlands_test.csv;norway_2023_24.csv;norway_2324.csv","True","True"
"2","N1","12/09/2020","netherlands_2020_21.csv","netherlands_2020_21.csv;norway_2020_21.csv","True","True"
"2","N1","13/08/2021","N1_2122.csv","N1_2122.csv;netherlands_2122.csv","True","True"
"2","P1","05/08/2022","P1_2223.csv","P1_2223.csv;PL_2223.csv","True","True"
"2","P1","06/08/2021","P1_2122.csv","P1_2122.csv;PL_2122.csv","True","True"
"2","P1","09/08/2024","poland_2024_25.csv","poland_2024_25.csv;portugal_2024_25.csv","True","True"
"2","P1","11/08/2023","poland_2023_24.csv","poland_2023_24.csv;portugal_2023_24.csv","True","True"
"2","P1","18/09/2020","poland_2020_21.csv","poland_2020_21.csv;portugal_2020_21.csv","True","True"
"1","SC0","01/08/2020","scotland_2020_21.csv","scotland_2020_21.csv","True","True"
"1","SC0","03/08/2024","scotland_2024_25.csv","scotland_2024_25.csv","True","True"
"1","SC0","05/08/2023","scotland_2023_24.csv","scotland_2023_24.csv","True","True"
"1","SC0","30/07/2022","SC0_2223.csv","SC0_2223.csv","True","True"
"1","SC0","31/07/2021","SC0_2122.csv","SC0_2122.csv","True","True"
"1","SC1","02/08/2024","czech_2024_25.csv","czech_2024_25.csv","True","True"
"1","SC1","04/08/2023","czech_2023_24.csv","czech_2023_24.csv","True","True"
"1","SC1","16/10/2020","czech_2020_21.csv","czech_2020_21.csv","True","True"
"1","SC1","30/07/2022","C1_2223.csv","C1_2223.csv","True","True"
"1","SC1","31/07/2021","C1_2122.csv","C1_2122.csv","True","True"
"1","SP1","11/08/2023","laliga_2023_24.csv","laliga_2023_24.csv","True","True"
"1","SP1","12/08/2022","laliga_2022_23.csv","laliga_2022_23.csv","True","True"
"1","SP1","12/09/2020","laliga_2020_21.csv","laliga_2020_21.csv","True","True"
"1","SP1","13/08/2021","laliga_2021_22.csv","laliga_2021_22.csv","True","True"
"1","SP1","15/08/2024","laliga_2024_25.csv","laliga_2024_25.csv","True","True"
"1","SP1","15/08/2025","laliga_2025_26.csv","laliga_2025_26.csv","True","True"
"1","T1","05/08/2022","T1_2223.csv","T1_2223.csv","True","True"
"1","T1","09/08/2024","turkey_2024_25.csv","turkey_2024_25.csv","True","True"
"1","T1","11/08/2023","turkey_2023_24.csv","turkey_2023_24.csv","True","True"
"1","T1","11/09/2020","turkey_2020_21.csv","turkey_2020_21.csv","True","True"
"1","T1","13/08/2021","T1_2122.csv","T1_2122.csv","True","True"
